question,chunk_id
What are the warning signs of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-1
When should I get urgent medical help for symptoms of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-1
"What are the symptoms of an abdominal aortic aneurysm, and how would I know if I need urgent medical help?",abdominal-aortic-aneurysm-2
"Am I at higher risk of getting an abdominal aortic aneurysm because of my age, smoking, or high blood pressure?",abdominal-aortic-aneurysm-2
"Could abdominal aortic aneurysm cause pain or a pulsing feeling in my tummy, and should I get it checked?",abdominal-aortic-aneurysm-3
"Is sudden severe abdominal pain a sign that an aneurysm has ruptured, and should I call 999 straight away?",abdominal-aortic-aneurysm-3
What causes an abdominal aortic aneurysm to develop?,abdominal-aortic-aneurysm-4
"Am I at higher risk of an aortic aneurysm if I smoke, have high blood pressure or a family history of it?",abdominal-aortic-aneurysm-4
How is an abdominal aortic aneurysm diagnosed if it does not usually cause symptoms?,abdominal-aortic-aneurysm-5
What tests might my doctor use if they suspect I have an AAA?,abdominal-aortic-aneurysm-5
What treatment is usually recommended if a large abdominal aortic aneurysm is found before it ruptures?,abdominal-aortic-aneurysm-6
Are there any non-surgical options to reduce the risk of an abdominal aortic aneurysm rupturing?,abdominal-aortic-aneurysm-6
How can I reduce my risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-7
What lifestyle changes can help stop an abdominal aortic aneurysm from getting bigger or rupturing?,abdominal-aortic-aneurysm-7
Am I eligible for screening for an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-8
How is abdominal aortic aneurysm screening done and what happens if it finds a problem?,abdominal-aortic-aneurysm-8
Could a pulsating feeling in my stomach near my belly button be a sign of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-9
When should I see a GP about persistent back pain or abdominal pain that might be related to an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-9
"Could sudden severe pain in my abdomen, dizziness, and feeling faint mean my aortic aneurysm has ruptured?",abdominal-aortic-aneurysm-10
"If I have abdominal pain with sweating, a rapid heartbeat, and shortness of breath, when should I seek emergency help?",abdominal-aortic-aneurysm-10
What should I do if I think I or someone I’m caring for has a ruptured abdominal aortic aneurysm?,abdominal-aortic-aneurysm-11
When is abdominal pain or collapse after an aortic aneurysm an emergency that needs a 999 call?,abdominal-aortic-aneurysm-11
What causes an abdominal aortic aneurysm to develop?,abdominal-aortic-aneurysm-12
How does a weak spot in the aorta wall lead to an aneurysm?,abdominal-aortic-aneurysm-12
Am I at higher risk of an abdominal aortic aneurysm because of my age or sex?,abdominal-aortic-aneurysm-13
How much does smoking increase the risk of getting an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-13
Does smoking increase the risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-14
"If I smoke more than 20 cigarettes a day, how much higher is my risk of an abdominal aortic aneurysm?",abdominal-aortic-aneurysm-14
How does atherosclerosis increase the risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-15
What lifestyle changes can help lower my risk of atherosclerosis and an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-15
Can high blood pressure increase my risk of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-16
"If I have high blood pressure, what should I do to lower the strain on my aorta?",abdominal-aortic-aneurysm-16
Does having a family history of abdominal aortic aneurysm mean I'm at higher risk?,abdominal-aortic-aneurysm-17
"If my brother or sister had an abdominal aortic aneurysm, should I get checked too?",abdominal-aortic-aneurysm-17
How is an abdominal aortic aneurysm usually diagnosed if it often causes no symptoms?,abdominal-aortic-aneurysm-18
What tests are used to confirm an abdominal aortic aneurysm and check its size?,abdominal-aortic-aneurysm-18
I’m a man over 65 and haven’t been offered an abdominal aortic aneurysm screening scan yet — how can I get one?,abdominal-aortic-aneurysm-19
"Do I need screening for an abdominal aortic aneurysm if I’m 65 or older, and what does the ultrasound scan involve?",abdominal-aortic-aneurysm-19
"If I’ve been told I have an abdominal aortic aneurysm, how do I know whether I need surgery or regular scans?",abdominal-aortic-aneurysm-20
What can I do to help slow the growth of an abdominal aortic aneurysm and lower the risk of it rupturing?,abdominal-aortic-aneurysm-20
"If my abdominal aortic aneurysm is 5.5cm or larger, what treatment options are available to me?",abdominal-aortic-aneurysm-21
How will the surgeon decide whether endovascular surgery or open surgery is best for my large AAA?,abdominal-aortic-aneurysm-21
"What is endovascular surgery for an abdominal aortic aneurysm, and how is it done?",abdominal-aortic-aneurysm-22
What are the risks and recovery time after endovascular surgery compared with open surgery?,abdominal-aortic-aneurysm-22
What does open surgery for an abdominal aortic aneurysm involve?,abdominal-aortic-aneurysm-23
What are the risks and recovery time after open surgery?,abdominal-aortic-aneurysm-23
"If I have a small or medium abdominal aortic aneurysm, how often will I need follow-up scans?",abdominal-aortic-aneurysm-24
What can I do to help stop my abdominal aortic aneurysm from getting bigger?,abdominal-aortic-aneurysm-24
What emergency treatment is used to repair a ruptured abdominal aortic aneurysm?,abdominal-aortic-aneurysm-25
How do doctors decide between open surgery and endovascular surgery for a ruptured AAA?,abdominal-aortic-aneurysm-25
How can I reduce my risk of developing an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-26
What lifestyle changes or treatments can help stop an aneurysm from getting bigger?,abdominal-aortic-aneurysm-26
Does smoking increase my risk of getting an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-27
"If I smoke, how can I get help to stop and lower my risk?",abdominal-aortic-aneurysm-27
How can my diet affect my risk of an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-28
Which high-fat foods should I avoid to help lower my cholesterol and reduce my risk?,abdominal-aortic-aneurysm-28
How much exercise should I do each week to help lower my blood pressure?,abdominal-aortic-aneurysm-29
What types of exercise are safe if I have an abdominal aortic aneurysm?,abdominal-aortic-aneurysm-29
Could being overweight increase my risk of an abdominal aortic aneurysm or make it worse?,abdominal-aortic-aneurysm-30
How much weight do I need to lose to help lower my blood pressure and reduce my health risks?,abdominal-aortic-aneurysm-30
What are the symptoms of aplastic anaemia and when should I seek medical advice?,about-aplastic-anaemia-1
"How serious is aplastic anaemia, and how is it diagnosed?",about-aplastic-anaemia-1
What symptoms might I notice if I have aplastic anaemia?,about-aplastic-anaemia-2
How does aplastic anaemia affect the body and blood cells?,about-aplastic-anaemia-2
What is aplastic anaemia?,about-aplastic-anaemia-3
Where can I find more information about aplastic anaemia?,about-aplastic-anaemia-3
"How is aplastic anaemia classified as very severe, severe, or not severe?",about-aplastic-anaemia-4
"What does it mean if my blood cell levels are low, and how does that affect how serious aplastic anaemia is?",about-aplastic-anaemia-4
"Could symptoms like fatigue, shortness of breath, bruising, or frequent infections be signs of aplastic anaemia?",about-aplastic-anaemia-5
"When should I seek medical advice if I have brain fog, poor concentration, chest pain, or unusual bleeding?",about-aplastic-anaemia-5
What tests are usually done to find out if I have aplastic anaemia or another cause of low blood count?,about-aplastic-anaemia-6
"Will I need bone marrow tests, scans, or genetic testing to diagnose aplastic anaemia?",about-aplastic-anaemia-6
What should I ask my doctor to better understand what’s causing my symptoms and what it means for my health?,about-aplastic-anaemia-7
How can I prepare for my appointment so I remember the important questions to ask about my condition and treatment?,about-aplastic-anaemia-7
What treatments are usually used for aplastic anaemia?,about-aplastic-anaemia-8
How will doctors decide which treatment is best for my aplastic anaemia?,about-aplastic-anaemia-8
What causes aplastic anaemia?,about-aplastic-anaemia-9
"Could aplastic anaemia be caused by a medicine, infection, autoimmune condition, or inherited problem?",about-aplastic-anaemia-9
Could aplastic anaemia be caused by an inherited condition that runs in my family?,about-aplastic-anaemia-10
"Do I need a genetic test to check whether Fanconi anaemia, dyskeratosis congenita, or Shwachman Diamond syndrome could be causing my symptoms?",about-aplastic-anaemia-10
"Am I more at risk of aplastic anaemia if I’m a child, teenager, or over 60?",about-aplastic-anaemia-11
"Could aplastic anaemia be linked to other rare conditions, such as PNH?",about-aplastic-anaemia-11
"If I have aplastic anaemia and a low white blood cell count, how quickly should I seek medical help if I start to feel unwell?",about-aplastic-anaemia-12
"Does a low platelet count with aplastic anaemia mean I’m at higher risk of bruising or bleeding, and when should I be checked?",about-aplastic-anaemia-12
"Is aplastic anaemia the same as iron deficiency anaemia, or is it a different condition?",about-aplastic-anaemia-13
"Does aplastic anaemia mean I have blood cancer, or is it a separate bone marrow problem?",about-aplastic-anaemia-13
How can I cope with the uncertainty and day-to-day impact of living with aplastic anaemia?,about-aplastic-anaemia-14
What support is available for people with aplastic anaemia and their families in Scotland?,about-aplastic-anaemia-14
What should I do if I have new or ongoing symptoms of Achilles tendinopathy?,achilles-tendinopathy-1
When should I see a healthcare professional for Achilles tendinopathy?,achilles-tendinopathy-1
What are the common symptoms of Achilles tendinopathy?,achilles-tendinopathy-2
"Could pain, stiffness or swelling in my Achilles tendon mean I have Achilles tendinopathy?",achilles-tendinopathy-2
"What are the main symptoms of Achilles tendinopathy, and how can I tell if it’s causing my ankle or heel pain?",achilles-tendinopathy-3
"When should I get medical advice for Achilles tendinopathy if I have swelling, stiffness, or pain that gets worse with exercise?",achilles-tendinopathy-3
What can cause Achilles tendinopathy to develop?,achilles-tendinopathy-4
Can Achilles tendinopathy happen even if I'm not very active?,achilles-tendinopathy-4
How long does Achilles tendinopathy usually take to get better?,achilles-tendinopathy-5
What can I do to manage Achilles tendinopathy while it heals?,achilles-tendinopathy-5
What pain medication can I take to help with Achilles tendinopathy?,achilles-tendinopathy-6
How can I manage the pain from Achilles tendinopathy so I can move around more comfortably?,achilles-tendinopathy-6
"Can I use heat or ice to help with Achilles tendon pain, and which is better?",achilles-tendinopathy-7
"How long should I apply a hot or cold pack to my Achilles tendon, and how can I do it safely?",achilles-tendinopathy-7
When should I stop using heat or ice on my Achilles tendon pain?,achilles-tendinopathy-8
Can I use heat or ice if I have poor circulation or reduced feeling in my ankle or foot?,achilles-tendinopathy-8
Should I keep exercising or resting if I think I have Achilles tendinopathy?,achilles-tendinopathy-9
What kind of activity or exercise is safe to do while I’m waiting to see a healthcare professional?,achilles-tendinopathy-9
Do I need to take time off work if I have Achilles tendinopathy?,achilles-tendinopathy-10
"When is it safe to return to work, and should I go back before I’m completely symptom free?",achilles-tendinopathy-10
When should I speak to a healthcare professional if my Achilles tendinopathy symptoms aren’t getting better?,achilles-tendinopathy-11
What should I do if my Achilles tendon pain gets worse instead of improving over time?,achilles-tendinopathy-11
What could be causing my acne spots and oily skin?,acne-1
"When should I get medical advice for acne that is hot, painful to touch, or has deeper cysts?",acne-1
What are the common symptoms of acne?,acne-2
What kinds of spots can acne cause?,acne-2
What causes blackheads to appear on my skin?,acne-3
How can I safely get rid of blackheads?,acne-3
What are whiteheads and how are they different from blackheads?,acne-4
"Do whiteheads usually need treatment, and when should I see a doctor about them?",acne-4
"What causes small red, tender bumps like papules to appear on my skin?",acne-5
How can I treat sore papules from acne and stop them getting worse?,acne-5
"What causes pustules to form with acne, and are they a sign of infection?",acne-6
How can I treat acne pustules and stop them from leaving scars?,acne-6
What are painful hard lumps under the skin from acne called?,acne-7
Should I see a doctor if I have large hard acne lumps beneath the skin?,acne-7
"Could these large pus-filled lumps be cysts, and do they mean my acne is severe?",acne-8
"Will cystic acne leave scars, and should I see a doctor for treatment to prevent that?",acne-8
How can I tell if my spots are acne or something else?,acne-9
"Do I need to see my GP, or can a pharmacist diagnose and advise on acne?",acne-9
"What treatments are available for acne, and how do I know if I should see a pharmacist or my GP?",acne-10
"How long does acne treatment usually take to work, and when should I expect to see improvement?",acne-10
Can hormonal treatments or the combined oral contraceptive pill help with my acne if it gets worse around my period?,acne-11
How long does it usually take for acne to improve after starting the combined pill or another hormonal treatment?,acne-11
"If I have severe acne with lots of spots or painful nodules, should I see my GP or ask to be referred to a dermatologist?",acne-12
"What treatments are usually used for severe acne, and what happens if antibiotic tablets and topical treatments don’t work?",acne-12
What causes acne to develop in the first place?,acne-13
Why do blocked pores sometimes turn into spots that become infected or inflamed?,acne-13
Could my acne be caused by hormonal changes related to my periods?,acne-14
Can pregnancy or PCOS cause acne in women?,acne-14
"What other things can cause acne besides hormones, and could any of my medications or skincare products be making it worse?",acne-15
"Is acne linked to poor hygiene, smoking, or sexual activity, and should I avoid things like headbands or backpacks that put pressure on my skin?",acne-15
"Is acne more common in teenagers and young adults, or can adults get it too?",acne-16
"If I’ve had acne for several years, when should I expect it to start improving?",acne-16
Can acne leave permanent scars?,acne-17
"What can I do to stop spots from scarring, and should I avoid picking or squeezing them?",acne-17
What can I do at home to help manage my acne symptoms?,acne-18
Are there any lifestyle changes that can help reduce acne breakouts?,acne-18
What kind of cleanser and water temperature should I use to wash acne-prone skin?,acne-19
What skin products and make-up habits should I avoid to help prevent acne from getting worse?,acne-19
How often should I wash my skin if I have acne?,acne-20
Should I squeeze blackheads or spots to try to clear acne?,acne-20
"Can acne affect my mental health, and what should I do if it’s making me feel anxious, stressed, or low?",acne-21
When should I speak to my GP about acne-related feelings of depression or wellbeing concerns?,acne-21
Could sudden sharp pain in the upper right side of my tummy that spreads to my right shoulder be acute cholecystitis?,acute-cholecystitis-1
"If my tummy pain is persistent and I also have a fever, nausea, or yellowing of my skin, should I seek urgent medical advice?",acute-cholecystitis-1
What symptoms of acute cholecystitis mean I should seek urgent medical advice?,acute-cholecystitis-2
When should I call NHS 24 or go to A&E if I think I have acute cholecystitis?,acute-cholecystitis-2
Could sudden severe abdominal pain that lasts for a few hours mean I need to contact my GP practice?,acute-cholecystitis-3
"If I have abdominal pain with jaundice or a fever, should I call my GP practice or phone 111 if it's closed?",acute-cholecystitis-3
What are the main causes of acute cholecystitis?,acute-cholecystitis-4
What is the difference between calculous and acalculous cholecystitis?,acute-cholecystitis-4
Could a blocked gallbladder duct from gallstones be causing my symptoms?,acute-cholecystitis-5
Is my gallbladder inflamed or infected because of calculous cholecystitis?,acute-cholecystitis-5
"What is acalculous cholecystitis, and how is it different from regular acute cholecystitis?",acute-cholecystitis-6
"Can acalculous cholecystitis develop after surgery, sepsis, severe burns, or a serious illness?",acute-cholecystitis-6
"If I have gallstones, am I at risk of developing acute cholecystitis?",acute-cholecystitis-7
How common is acute cholecystitis in adults with gallstones?,acute-cholecystitis-7
How will my GP diagnose acute cholecystitis?,acute-cholecystitis-8
What tests might I need in hospital if cholecystitis is suspected?,acute-cholecystitis-8
"If I’m diagnosed with acute cholecystitis, will I need to go into hospital?",acute-cholecystitis-9
What treatment is usually given for acute cholecystitis?,acute-cholecystitis-9
"What is the initial treatment for acute cholecystitis, and will I need to stay in hospital?",acute-cholecystitis-10
Why might I need to stop eating and drinking and have fluids or antibiotics for acute cholecystitis?,acute-cholecystitis-10
Will I need surgery to remove my gallbladder after acute cholecystitis?,acute-cholecystitis-11
"What are the different types of gallbladder surgery, and how soon might it be done?",acute-cholecystitis-11
What are the serious complications of acute cholecystitis if it isn’t treated quickly?,acute-cholecystitis-12
When does acute cholecystitis become an emergency and need surgery to remove the gallbladder?,acute-cholecystitis-12
How can I reduce my risk of developing gallstones and acute cholecystitis?,acute-cholecystitis-13
Is rapid weight loss likely to increase my chance of getting gallstones?,acute-cholecystitis-13
What are the common symptoms of acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-1
When should I see a doctor if I think I might have acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-1
"What is acute lymphoblastic leukaemia (ALL), and how quickly does it usually develop?",acute-lymphoblastic-leukaemia-2
"Who is most likely to get ALL, and is it more common in children or adults?",acute-lymphoblastic-leukaemia-2
How does acute lymphoblastic leukaemia start developing in the bone marrow?,acute-lymphoblastic-leukaemia-3
What are lymphoid stem cells and how are they affected by acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-3
"What symptoms might I notice if my white blood cells, red blood cells, or platelets are not working properly?",acute-lymphoblastic-leukaemia-4
"Could changes in my blood cells cause infections, tiredness, bruising, or bleeding, and when should I get this checked?",acute-lymphoblastic-leukaemia-4
What happens to blood cells in acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-5
Why does ALL cause a low full blood count?,acute-lymphoblastic-leukaemia-5
What is the difference between B-cell and T-cell acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-6
"How do doctors find out which type of ALL I have, and does it affect my treatment?",acute-lymphoblastic-leukaemia-6
What does it mean if I have Philadelphia positive ALL?,acute-lymphoblastic-leukaemia-7
Will Philadelphia positive ALL affect my children or be passed on in my family?,acute-lymphoblastic-leukaemia-7
"Could swollen lymph nodes, tiredness and unexplained bruising be signs of acute lymphoblastic leukaemia?",acute-lymphoblastic-leukaemia-8
"When should I contact my GP if I have symptoms like night sweats, weight loss, shortness of breath or repeated infections?",acute-lymphoblastic-leukaemia-8
What causes acute lymphoblastic leukaemia (ALL)?,acute-lymphoblastic-leukaemia-9
Are there any risk factors or inherited gene changes that can make someone more likely to develop ALL?,acute-lymphoblastic-leukaemia-9
"If I have Down’s syndrome or another genetic condition, does that mean I’m more likely to develop acute lymphoblastic leukaemia?",acute-lymphoblastic-leukaemia-10
"Does acute lymphoblastic leukaemia run in families, and should my relatives be checked if I’m diagnosed?",acute-lymphoblastic-leukaemia-10
Could being exposed to very high levels of radiation increase my risk of developing acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-11
Is exposure to radon a risk factor for acute lymphoblastic leukaemia?,acute-lymphoblastic-leukaemia-11
